TwitchCategoryId,Language,Name,Synopsis,Summary,Source,IGDBId,SteamId
11282,es,Final Fantasy VIII,,"Son tiempos de guerra. Galbadia, una superpotencia mundial, declara la guerra a Dollet, un país vecino cuya academia militar alberga a dos verdaderas personalidades: el exaltado Seifer y el lobo solitario Squall Leonhart, tan enfrentados entre ellos como lo está su país con Galbadia.",steam,,
1129433510,es,Marble Age,,Juego de estrategia y simulación de civilizaciones históricas por turnos. ¡Desarrolla a los atenienses y espartanos desde sus primitivos comienzos como pequeños asentamientos hasta que se transforman en grandes ciudades-estado que dominan el mundo!,steam,35838,346810
114185,es,Dirty Bomb,,¡Trabaja juntos o muere solo! Pelea para restaurar la paz en Londres o derrúmbala por dinero en el juego de disparos por equipos más desafiante.,steam,1902,333930
115541085,es,Blocksplode,,"¡Explota cosas! Destruye estructuras, hunde bloques azules gruñones y guarda gemas para subir a la cima de la torre. Juega desafiantes rompecabezas basados ​​en la física y comparte en línea tus propios diseños de niveles en el modo multijugador en línea para hasta 4 amigos.",steam,118250,1049870
115546,es,Cry of Fear,,"Cry of Fear is a psychological single-player and co-op horror game set in a deserted town filled with horrific creatures and nightmarish delusions. You play as a young man desperately searching for answers in the cold Scandinavian night, finding his way through the city as he slowly descends into madness.",steam,3084,223710
115977,es,The Witcher 3: Wild Hunt,,"Mientras la guerra se extiende por los Reinos del Norte, aceptarás el contrato de tu vida: encontrar a la niña de la profecía, un arma viviente que puede alterar el mundo tal y como lo conocemos.",steam,,
1161164159,es,Dominions 5,,In Dominions 5 you take control of a powerful being that rules a nation and aspires to godhood. The type of Pretender Gods can vary from magically powerful arch mages to huge titans or large monuments. Dominions is a deep 4x turn based strategy game with a very large variety of spells and units.,steam,76074,722060
11667,es,Teeworlds,,"Teeworlds is a free online multiplayer game, available for all major operating systems. Battle with up to 16 players in a variety of game modes, including Team Deathmatch and Capture The Flag. You can even design your own maps!",steam,,
118198,es,Assassin's Creed IV: Black Flag,,"Año 1715. Los piratas dominaban todo el Caribe y habían establecido su propio gobierno en el que la corrupción, la codicia y la crueldad eran las únicas leyes.Entre estos hombres destacaba un joven y altivo capitán llamado Edward Kenway.",steam,,
118200,es,Call of Duty: Ghosts,,Superados en número y en armamento. Pero nunca vencidos.Call of Duty®: Ghosts es un extraordinario paso adelante en una de las mayores sagas de todos los tiempos en el sector del entretenimiento. Este nuevo capítulo de Call of Duty® cuenta con una nueva dinámica en la que el jugador forma parte de una nación destrozada que no lucha por...,steam,,
118212,es,War for the Overworld,,¿Harto de invadir mazmorras? ¡Es hora de construir la tuya! War for the Overworld es un juego de gestión de mazmorras que aprovecha tus características favoritas de los juegos de estrategia en tiempo real y de simulación de dios. ¡Crea tu propia mazmorra y conquista el Mundo de la Superficie!,steam,1878,230190
1192093612,es,Castle Crashers Remastered,,"¡Ábrete paso golpeando, acuchillando y machacando hasta la victoria en esta aventura arcade en 2D de The Behemoth!",steam,3153,204360
1193677737,es,DYSMANTLE,,Asciende del refugio. Acaba con todo. Escapa de la isla maldita. ⭐⭐⭐⭐⭐ Explora. Lucha. Sube de nivel. Sobrevive. Recolecta. Fabrica. Cosecha. Caza. Construye. Cultiva. Resuelve enigmas. Pesca. Cocina. Vive. Que disfrutes este amargo postapocalipsis.,steam,113998,846770
11988,es,Final Fantasy VII,,"En Midgar, una ciudad controlada por la gran conglomeración Shinra Inc., el reactor Mako nº 1 ha sido destruido por un grupo de rebeldes llamado AVALANCHE.AVALANCHE es un grupo formado en secreto para empezar una rebelión contra Shinra Inc., una organización que absorbe energía Mako destruyendo así los recursos naturales del planeta.",steam,,
12004,es,DmC: Devil May Cry,,"In this retelling of Dante's origin story which is set against a contemporary backdrop, DmC Devil May Cry™ retains the stylish action.",steam,1254,220440
12086,es,Ty the Tasmanian Tiger,,"Buenos días, colega. Explora la naturaleza de Australia con TY el Tigre de Tasmania, el encantador juego de plataformas australiano.",steam,1322,411960
