TwitchCategoryId,Language,Name,Synopsis,Summary,Source,IGDBId,SteamId
102962004,uk,They Are Here: Alien Abduction Horror,,"First-person horror story about a journalist who witnessed an alien abduction at the Grayswood farm. The game is inspired by such movies as Signs, Dark Skies, The Gracefield Incident, The X-Files, War of the Worlds and many others.",steam,152446,1547540
1029754927,uk,Stay Out of the House,,"СТЕЛС-ХОРОР, який тримає вас у напрузі, коли ви намагаєтеся втекти з дому канібала та СЕРІЙНОГО ВБИВЦІ.... На вас полюватиме розумний і смертоносний штучний інтелект - використовуйте свою кмітливість та інструменти, які вам вдасться знайти, щоб вийти звідти живим...",steam,109668,896520
103445,uk,Kentucky Route Zero,,"KENTUCKY ROUTE ZERO is a magical realist adventure game about a secret highway running through the caves beneath Kentucky, and the mysterious folks who travel it.",steam,5614,231200
1037570605,uk,House Builder,,"Станьте одноосібною будівельною бригадою! Подорожуйте світом і крізь віки, щоб створювати культові проекти! Остерігайтеся неприємних температур та небезпечної фауни!",steam,133448,1244630
1038135024,uk,Hotel Renovator,,"Дайте волю своїй фантазії та побудуйте готель мрії! Перетворіть занедбаний готель на затишне й прибуткове місце. Керуйте послугами, проектуйте затишні номери та зрештою створіть виняткове місце, що затьмарить готелі золотого віку. Отримайте 5 зірок!",steam,128151,1214470
1039531588,uk,The Caretaker,,"In &quot;The Caretaker - Dungeon Nightshift&quot;, you slip into the role of a dungeon caretaker. Your job is as easy as it sounds. Clean up the dungeon after the daily attacks. And don't make too much noise. Make sure, the dungeon master does not wake up! Maybe it's NOT as easy as it sounds......",steam,32429,486550
1040463021,uk,WWE 2K23,,"Відтепер WWE 2K23 ще сильніше – з розширеними функціями, чудовою графікою та командою суперзірок і легенд WWE. 2K Showcase повертається у форматі інтерактивного спортивного документального фільму, присвяченого 20-річній кар’єрі Джона Сіни. WarGames теж нарешті тут!",steam,233028,1942660
1040578346,uk,First Person Tennis - The Real Tennis Simulator,,"First Person Tennis is the first tennis simulator developed for HTC Vive, Oculus and WMR. Now, you can play on a real tennis court and face professional tennis players. You'll have to show all your technical and tactical skills and climb the world tour ranking.",steam,33434,454140
10407,uk,Counter-Strike: Source,,Counter-Strike: Source blends Counter-Strike's award-winning teamplay action with the advanced technology of Source™ technology.,steam,307,240
10408,uk,Master of Orion,,Forge an empire in a universe where population growth is stripping away planetary resources. Colonize unknown planets and trade with other races for their knowledge.,steam,67,410970
104238,uk,Lovers in a Dangerous Spacetime,,Explore a neon galaxy in your very own battleship in this 1- to 4-player couch co-op adventure.,steam,12520,252110
1042770184,uk,Bloodshore,,"Bloodshore is an interactive action movie about a televised battle royale between high-profile streamers, entertainers and death row inmates. You control the fate of Nick, a washed-up actor who fights for a life-changing cash prize.",steam,177056,1490840
1047410718,uk,Football Manager 2023,,"Build your dream squad, outsmart your rivals and experience the thrill of big European nights in the UEFA Champions League. Your journey towards footballing glory awaits.",steam,216178,1904540
1047705864,uk,Skinwalker Hunt,,"Skinwalker Hunt is a horror themed hunting game from the creator of Witch Hunt. Main focus of the game is on exploration, non-linear gameplay, and atmosphere.",steam,130126,993110
1047891127,uk,Alone in the Dark,,Alone in the Dark: Classic Collection brings the seminal survival horror masterpieces of the 90's to your PC today.,steam,1956,548090
1050003477,uk,The Elder Scrolls V: Skyrim Special Edition,,"EPIC FANTASY REBORN The next chapter in the highly anticipated Elder Scrolls saga arrives from the makers of the 2006 and 2008 Games of the Year, Bethesda Game Studios. Skyrim reimagines and revolutionizes the open-world fantasy epic, bringing to life a complete virtual world open for you to explore any way you choose.",steam,472,72850
105169862,uk,Farthest Frontier,,"Protect and guide your people as you forge a town from untamed wilderness at the edge of the known world. Harvest raw materials, hunt, fish and farm to survive. Produce crafted items to trade, consume, equip and fight with as you battle for your survival against the elements and outside threats.",steam,142688,1044720
1052755726,uk,FEAR,,"FEAR - a horror game made in realistic 3D graphics, immersing in an atmosphere of horror and fear.",steam,154699,1673140
10532,uk,Call to Arms,,"Call to Arms offers an innovative mix of real-time strategy and 3rd, as well as 1st person controls. Set in the time of modern warfare, the game offers realistically modeled vehicles and heavy weaponry. Command your troops to victory or fight by yourself in the 3rd or 1st person action mode.",steam,17432,302670
105451,uk,Game Dev Tycoon,,In Game Dev Tycoon you replay the history of the gaming industry by starting your own video game development company in the 80s. Create best selling games. Research new technologies and invent new game types. Become the leader of the market and gain worldwide fans.,steam,2599,239820
1054733525,uk,Writers,,"Writers is a game where you play as a writer and try to be the first in typing random excerpts from the book. Fight against your friends or players around the world, make your way to the top and show them speed you are capable of. Become a member of Writer's club and master all language leagues!",steam,75105,649990
1055115891,uk,CULTIC,,"Death is only the beginning. Crawl from your grave and gear up to fight your way through the ranks of a mysterious and twisted cult. You, your guns, and your dynamite will have to shoot, slide, blast, duck, dodge, and maybe throw a gib or two to survive in this old-school-inspired shooter.",steam,164944,1684930
1058561628,uk,Hide and Run,,,steam,147535,1611460
1059008345,uk,Northern Journey,,"A norwegian happysad game set in a northern land! Adventure through a beautiful and very varied wilderness. Dive, fly, use ziplines and find different weapons to aid your journey to reach the cold mountains and below. Encounter over 50 unique bosses and enemy types!",steam,165179,1639790
1059168438,uk,The Normal Thing,,"THE NORMAL THING is a story about a dog who lost his memory. Sunless forests, strange gardens, weird inhabitants... Start a little journey to retrieve your memory.",steam,150713,1397980
1061253397,uk,Lost Alone Ultimate,,"Lost Alone Ultimate is a first-person psychological horror game designed to convey anxiety, distress, and terror. You will have to explore three different houses, avoid staying in the dark, and face moments of fear that will not give you respite.",steam,245026,2341330
1061323687,uk,eFootball 2022,,Класична футбольна гра з найновішими даними! Відчуйте азарт реалістичного футболу в eFootball™ 2024!,steam,172771,1665460
1062280071,uk,Beyond the Wizard,,"This is a 2D action hardcore flatformer game. Get into the simple but difficult world of Beyond the Wizard! If you have enough patience, this game will not be difficult!",steam,119666,1095680
1063150759,uk,Do 11,,Find a way out of the Do 11 app by doing missions that come from the mysterious Do 11 app. A choice awaits you to solve puzzles and change the fate of the protagonist. Escape the main character from the Do 11 app while savoring a profound worldview and intriguing story. An incredible twist awaits.,steam,161422,1697190
1064808083,uk,My Universe: School Teacher,,"Play as a young teacher with a mission: bringing your new school back to the top! Motivate your pupils, improve their results and organize school contests and festivals.",steam,139216,1238180
1065,uk,Septerra Core: Legacy of the Creator,,"At the very heart of Septerra lies the Core, a huge Biocomputer. Seven continents at different elevations, each with its own unique people and culture, orbit around the Core.According to an ancient prophecy, Septerra's continents will one day converge and join in orbit together on one level - this is the Legacy of Marduk, the Creator's...",steam,7844,253940
1065704433,uk,Spirit Hunters: Infinite Horde,,"You are the Spirit Hunters in this action rogue-lite. Slay huge waves of monsters and harvest their souls for ever increasing power. Unlock many playable characters, abilities, maps and more through a deep progression system.",steam,197480,1914580
106645,uk,Virtual Pool 4,,"Play 8-Ball, 9-Ball, Snooker, Billiards, Pub Pool, 27 games total! “So realistic it will make your real life pool game better!”Two career play modes, trick shots, video tutorials, multi-player online. Virtual Pool 4 is the most comprehensive cue sport game ever!",steam,36070,336150
106657,uk,Gorogoa,,"Gorogoa is an elegant evolution of the puzzle genre, told through a beautifully hand-drawn story designed and illustrated by Jason Roberts. Winner of Debut Game at the 2018 BAFTA Games Awards, as well as Best Mobile Game and the Innovation Award at the GDC 2018 Choice Awards.",steam,9136,557600
106662,uk,The Cat Lady,,"The Cat Lady follows Susan Ashworth, a lonely 40-year old on the verge of suicide. She has no family, no friends and no hope for a better future. One day she discovers that five strangers will come along and change everything...",steam,11270,253110
1066704439,uk,Disquiet Fields,,Disquiet Fields is a horror game where your objective is to survive. The only thing you have to do is to traverse a sandy path in the middle of mysterious fields being stalked by enigmatic creature. Can you survive all the way to the end of that path?,steam,157676,1429130
1067028660,uk,Blair Witch VR,,"Blair Witch: VR Edition is a story-driven psychological horror game from the creative minds behind the critically acclaimed The Medium. Experience first-hand the toll that fear can take on the mind in an original story inspired by the cinematic lore of Blair Witch, designed for Virtual Reality.",steam,164320,1576350
1067345253,uk,Saints Row,,"Ласкаво просимо до Санто-Ілесо — бурхливого вигаданого міста на південному заході Америки. У світі, де панує беззаконня, а кримінальні клани борються за владу, група молодих друзів у прагненні будь за що досягнути успіху вирішила створити злочинне підприємство.",steam,165346,742420
1069224702,uk,Guardian of Lore,,"A mystical library houses books of ancient folktales from lost civilizations. Play as prince Sayri, and protect these stories from wicked magic that aims to erase their memory forever. Enter each story and save it from within... or at least part of it.",steam,128253,1211740
1069583912,uk,Mountain Rescue Simulator,,"When danger calls – it's down to you become a lifesaver in Mountain Rescue Simulator! Now you and your team are in demand! Use your special vehicles such as helicopters, quad bikes or snow cat to rescue people. Take care of broken bones or rescue lost hikers!",steam,123737,1087910
10710,uk,Counter-Strike,,Зіграйте у кращу в світі мережеву стрілянку. Пориньте в неймовірно реалістичні ситуації боротьби з терористами в цій шалено популярній командній грі. Об’єднуйтеся з іншими гравцями для виконання стратегічних місій. Знищуйте ворожі осередки. Рятуйте заручників. Ваша роль впливає на успіх команди. Успіх команди впливає на вашу роль.,steam,241,10
1072835570,uk,Wargroove 2,,"Trouble stirs on the shores of Aurania. An ambitious new faction has unearthed forbidden relics capable of catastrophic consequences. But how far will they go to achieve glory? Take to the battlefield, sea, and sky with a cast of new Commanders, using your wits to wage turn-based war!",steam,241149,1346020
1073072196,uk,BETON BRUTAL,,Climb a massive overgrown concrete tower while constantly at risk of falling and losing precious progress. BETON BRUTAL offers a fluid and responsive first person parkour experience through tranquil brutalist architecture.,steam,240683,2330500
1074425711,uk,Westwood Shadows,,"A police detective returns to his abandoned hometown, where he must confront his past and an unsolved case draped in shadows. Follow Peter Bennet through a first-person, puzzle-solving game with mild horror elements, and explore the mystery and heavy atmosphere of Westwood Shadows.",steam,121094,1122360
1076084581,uk,Kingdoms of Amalur: Re-Reckoning,,"The minds of New York Times bestselling author R.A. Salvatore, Spawn creator Todd McFarlane, and Elder Scrolls IV: Oblivion lead designer Ken Rolston have combined to create Kingdoms of Amalur: Reckoning, a new role-playing game set in a world worth saving.",steam,1059,102500
10767,uk,Fallout,,"You've just unearthed the classic post-apocalyptic role-playing game that revitalized the entire CRPG genre. The Fallout® SPECIAL system allows drastically different types of characters, meaningful decisions and development that puts you in complete control. Explore the devastated ruins of a golden age civilization.",steam,13,38400
1077459200,uk,Alien Marauder,,"“Alien Marauder” is a real-time strategy game with survival and confrontation theme. In this game, you will be the leader to a treacherous alien planet, build and defend base to survive against the vexan waves. Make the right decision!",steam,163835,1516750
10775,uk,S.T.A.L.K.E.R.: Shadow of Chernobyl,,"S.T.A.L.K.E.R.: Тінь Чорнобиля розповідає про виживання в Зоні – вкрай небезпечному місці, де потрібно боятися не тільки радіації, аномалій та смертоносних істот, але й інших &quot;сталкерів&quot;, котрі переслідують власні цілі.",steam,320,4500
1078541898,uk,Mail Time,,"It's Mail Time! As a newly trained Mail Scout, put on your pack, grab those letters, and deliver them across Grumblewood Grove! The forest animals eagerly await the sight of your mushroom hat in this cozy, cottagecore light-platformer adventure!",steam,165385,1607240
10818,uk,Crysis,,"Adapt to Survive  An epic story thrusts players into an ever-changing environment, forcing them to adapt their tactics and approach to conquer battlefields ranging from newly frozen jungle to zero-gravity alien environments. Suit up!  A high-tech Nanosuit allows gamers to augment their abilities in real time on the battlefield.",steam,296,17300
1081813333,uk,Blank,,"Dive in the metaphorical universe of Blank, a third-person puzzle-platformer game with strong stealth aspects. In a world filled with headless people, you must escape from the claws of the Metropolis, switch perspective to find the right path through this dystopian world and recover Blank’s true identity.",steam,127800,1174920
